MATCH_ID	INNING	BATTING_TEAM	BOWLING_TEAM	OVER	BALL	BATSMAN	BOWLER	WIDE_RUNS	BYE_RUNS	LEGBYE_RUNS	NOBALL_RUNS	PENALTY_RUNS	BATSMAN_RUNS	EXTRA_RUNS	TOTAL_RUNS
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	4	6	S Dhawan	YS Chahal	0	0	0	0	0	1	0	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	5	1	S Dhawan	S Aravind	0	0	0	0	0	1	0	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	5	2	MC Henriques	S Aravind	0	0	0	0	0	1	0	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	5	3	S Dhawan	S Aravind	0	0	0	0	0	1	0	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	5	4	MC Henriques	S Aravind	0	0	0	0	0	2	0	2
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	5	5	MC Henriques	S Aravind	0	0	0	0	0	4	0	4
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	5	6	MC Henriques	S Aravind	0	0	0	0	0	0	0	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	6	1	S Dhawan	SR Watson	0	0	0	0	0	4	0	4
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	6	2	S Dhawan	SR Watson	0	0	0	0	0	4	0	4
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	6	3	S Dhawan	SR Watson	0	0	0	0	0	0	0	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	6	4	S Dhawan	SR Watson	0	0	0	0	0	4	0	4
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	6	5	S Dhawan	SR Watson	0	0	0	0	0	4	0	4
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	6	6	S Dhawan	SR Watson	0	0	0	0	0	1	0	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	7	1	S Dhawan	YS Chahal	0	0	0	0	0	1	0	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	7	2	MC Henriques	YS Chahal	0	0	0	0	0	0	0	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	7	3	MC Henriques	YS Chahal	0	0	0	0	0	1	0	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	7	4	S Dhawan	YS Chahal	0	0	0	0	0	1	0	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	7	5	MC Henriques	YS Chahal	0	0	0	0	0	1	0	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	7	6	S Dhawan	YS Chahal	0	0	0	0	0	1	0	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	8	1	S Dhawan	TM Head	0	0	0	0	0	1	0	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	8	2	MC Henriques	TM Head	0	0	0	0	0	1	0	1
