MATCH_ID	SEASON	CITY	DATE	TEAM1	TEAM2	TOSS_WINNER	TOSS_DECISION	RESULT	WINNER
201	2010	Mumbai	2010-03-30	Kings XI Punjab	Mumbai Indians	Mumbai Indians	field	normal	Mumbai Indians
202	2010	Chennai	2010-03-31	Royal Challengers Bangalore	Chennai Super Kings	Royal Challengers Bangalore	bat	normal	Chennai Super Kings
203	2010	Delhi	2010-03-31	Delhi Daredevils	Rajasthan Royals	Delhi Daredevils	bat	normal	Delhi Daredevils
204	2010	Kolkata	2010-04-01	Kolkata Knight Riders	Deccan Chargers	Kolkata Knight Riders	bat	normal	Kolkata Knight Riders
205	2010	Chandigarh	2010-04-02	Kings XI Punjab	Royal Challengers Bangalore	Kings XI Punjab	bat	normal	Royal Challengers Bangalore
206	2010	Chennai	2010-04-03	Chennai Super Kings	Rajasthan Royals	Chennai Super Kings	bat	normal	Chennai Super Kings
207	2010	Mumbai	2010-04-03	Mumbai Indians	Deccan Chargers	Mumbai Indians	bat	normal	Mumbai Indians
208	2010	Kolkata	2010-04-04	Kolkata Knight Riders	Kings XI Punjab	Kolkata Knight Riders	bat	normal	Kings XI Punjab
209	2010	Delhi	2010-04-04	Delhi Daredevils	Royal Challengers Bangalore	Delhi Daredevils	bat	normal	Delhi Daredevils
210	2010	Nagpur	2010-04-05	Rajasthan Royals	Deccan Chargers	Rajasthan Royals	bat	normal	Rajasthan Royals
211	2010	Chennai	2010-04-06	Chennai Super Kings	Mumbai Indians	Chennai Super Kings	bat	normal	Chennai Super Kings
212	2010	Jaipur	2010-04-07	Kings XI Punjab	Rajasthan Royals	Kings XI Punjab	bat	normal	Rajasthan Royals
213	2010	Kolkata	2010-04-07	Kolkata Knight Riders	Delhi Daredevils	Kolkata Knight Riders	bat	normal	Kolkata Knight Riders
214	2010	Bangalore	2010-04-08	Royal Challengers Bangalore	Deccan Chargers	Deccan Chargers	field	normal	Deccan Chargers
215	2010	Chandigarh	2010-04-09	Mumbai Indians	Kings XI Punjab	Mumbai Indians	bat	normal	Kings XI Punjab
216	2010	Nagpur	2010-04-10	Chennai Super Kings	Deccan Chargers	Chennai Super Kings	bat	normal	Deccan Chargers
217	2010	Bangalore	2010-04-10	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	Royal Challengers Bangalore
218	2010	Delhi	2010-04-11	Delhi Daredevils	Kings XI Punjab	Delhi Daredevils	bat	normal	Kings XI Punjab
219	2010	Jaipur	2010-04-11	Mumbai Indians	Rajasthan Royals	Rajasthan Royals	field	normal	Mumbai Indians
220	2010	Nagpur	2010-04-12	Deccan Chargers	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	Deccan Chargers
221	2010	Mumbai	2010-04-13	Mumbai Indians	Delhi Daredevils	Mumbai Indians	bat	normal	Mumbai Indians
222	2010	Chennai	2010-04-13	Kolkata Knight Riders	Chennai Super Kings	Kolkata Knight Riders	bat	normal	Chennai Super Kings
223	2010	Jaipur	2010-04-14	Rajasthan Royals	Royal Challengers Bangalore	Rajasthan Royals	bat	normal	Royal Challengers Bangalore
224	2010	Chennai	2010-04-15	Chennai Super Kings	Delhi Daredevils	Chennai Super Kings	bat	normal	Delhi Daredevils
225	2010	Dharamsala	2010-04-16	Kings XI Punjab	Deccan Chargers	Deccan Chargers	field	normal	Deccan Chargers
226	2010	Bangalore	2010-04-17	Mumbai Indians	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	Mumbai Indians
227	2010	Kolkata	2010-04-17	Rajasthan Royals	Kolkata Knight Riders	Rajasthan Royals	bat	normal	Kolkata Knight Riders
228	2010	Dharamsala	2010-04-18	Kings XI Punjab	Chennai Super Kings	Chennai Super Kings	field	normal	Chennai Super Kings
229	2010	Delhi	2010-04-18	Deccan Chargers	Delhi Daredevils	Deccan Chargers	bat	normal	Deccan Chargers
230	2010	Kolkata	2010-04-19	Mumbai Indians	Kolkata Knight Riders	Mumbai Indians	bat	normal	Kolkata Knight Riders
231	2010	Mumbai	2010-04-21	Mumbai Indians	Royal Challengers Bangalore	Mumbai Indians	bat	normal	Mumbai Indians
232	2010	Mumbai	2010-04-22	Chennai Super Kings	Deccan Chargers	Chennai Super Kings	bat	normal	Chennai Super Kings
233	2010	Mumbai	2010-04-24	Deccan Chargers	Royal Challengers Bangalore	Deccan Chargers	bat	normal	Royal Challengers Bangalore
234	2010	Mumbai	2010-04-25	Chennai Super Kings	Mumbai Indians	Chennai Super Kings	bat	normal	Chennai Super Kings
235	2011	Chennai	2011-04-08	Chennai Super Kings	Kolkata Knight Riders	Chennai Super Kings	bat	normal	Chennai Super Kings
236	2011	Hyderabad	2011-04-09	Deccan Chargers	Rajasthan Royals	Rajasthan Royals	field	normal	Rajasthan Royals
237	2011	Kochi	2011-04-09	Kochi Tuskers Kerala	Royal Challengers Bangalore	Kochi Tuskers Kerala	bat	normal	Royal Challengers Bangalore
238	2011	Delhi	2011-04-10	Delhi Daredevils	Mumbai Indians	Delhi Daredevils	bat	normal	Mumbai Indians
239	2011	Mumbai	2011-04-10	Kings XI Punjab	Pune Warriors	Kings XI Punjab	bat	normal	Pune Warriors
240	2011	Kolkata	2011-04-11	Kolkata Knight Riders	Deccan Chargers	Kolkata Knight Riders	bat	normal	Kolkata Knight Riders
